id,affiliate_info,first_name,last_name,phone,email,street,city,state,z_code,d_lic_num,d_lic_exp,d_dob,name_on_cc,cc_num,cc_exp,cc_cv,customer_notes
0, 6, Mary,Galeano,438-883-2034,m_galeano@fakermail.com,1234 Somewhere St.,Somecity,AZ,85799,946885253,8/93,8/13/93,MARY GALEANO,4265528858653756,8/93,314
1, 6, Philip,Smith,744-923-1035,p_smith@fakermail.com,1234 Somewhere St.,Somecity,AZ,85799,440837476,10/23,10/29/23,PHILIP SMITH,5002925096835672,10/23,131
2, 6, Lloyd,Wunderlin,691-522-7916,l_wunderlin@fakermail.com,1234 Somewhere St.,Somecity,AZ,85799,350272526,8/73,8/18/73,LLOYD WUNDERLIN,4065393994594784,8/73,453
3, 6, Grace,Yeargin,323-727-2639,g_yeargin@fakermail.com,1234 Somewhere St.,Somecity,AZ,85799,874687978,12/52,12/29/52,GRACE YEARGIN,5417176797384071,12/52,828
4, 6, Agnes,Tyler,495-611-5656,a_tyler@fakermail.com,1234 Somewhere St.,Somecity,AZ,85799,360640056,10/14,10/16/14,AGNES TYLER,5124464883016900,10/14,861
5, 6, Gregory,Holland,991-684-2417,g_holland@fakermail.com,1234 Somewhere St.,Somecity,AZ,85799,522254446,3/76,3/27/76,GREGORY HOLLAND,5494650504333846,3/76,479
6, 6, Timothy,Reeves,930-908-7449,t_reeves@fakermail.com,1234 Somewhere St.,Somecity,AZ,85799,314229068,4/11,4/25/11,TIMOTHY REEVES,4383594898654936,4/11,652
7, 6, Ryan,Eason,892-662-8523,r_eason@fakermail.com,1234 Somewhere St.,Somecity,AZ,85799,941443398,12/10,12/13/10,RYAN EASON,4606363095250017,12/10,977
8, 6, Jonathan,Vanhorn,737-358-8883,j_vanhorn@fakermail.com,1234 Somewhere St.,Somecity,AZ,85799,483100304,7/72,7/27/72,JONATHAN VANHORN,4821313152810060,7/72,524
9, 6, Patricia,Crumedy,928-640-8507,p_crumedy@fakermail.com,1234 Somewhere St.,Somecity,AZ,85799,294115331,3/80,3/19/80,PATRICIA CRUMEDY,4062992566721540,3/80,981
